2,206,9,2018-7-28,2,2018-12-28
3,454,48,2019-10-28,3,2019-12-28
4,364,3,2018-11-23,4,2019-12-23
7,130,70,2019-12-12,7,2019-12-16
8,130,9,2018-1-24,8,2018-12-26
10,328,82,2019-10-23,10,2019-11-23
11,294,23,2016-8-27,11,2017-10-28
13,411,132,2017-11-22,13,2017-12-25
14,417,18,2018-11-10,14,2018-12-10
15,489,1,2019-11-22,15,2019-11-24
16,130,4,2018-11-23,16,2018-12-28
17,194,5,2019-3-26,17,2019-8-27
19,105,21,2018-12-28,19,2018-12-28
23,77,45,2019-9-27,23,2019-11-28
24,450,34,2018-12-26,24,2018-12-28
25,267,44,2015-9-15,25,2018-9-27
26,194,2,2019-7-14,26,2019-12-16
29,346,118,2018-12-28,29,2018-12-28
31,267,163,2019-9-21,31,2019-12-27
34,328,175,2019-12-20,34,2019-12-26
35,265,67,2018-11-20,35,2019-11-28
36,265,119,2016-9-18,36,2017-9-18
38,165,184,2018-10-22,38,2018-11-24
39,265,336,2017-9-27,39,2017-9-27
41,464,20,2017-11-28,41,2019-12-28
42,450,22,2019-12-21,42,2019-12-23
46,454,63,2018-11-22,46,2019-12-26
48,277,26,2015-12-17,48,2017-12-20
49,228,89,2019-12-10,49,2019-12-22
52,294,88,2018-12-27,52,2019-12-28
53,464,95,2017-11-25,53,2018-12-28
55,346,48,2015-9-27,55,2018-12-28
56,464,14,2017-9-27,56,2018-11-27
58,477,4,2019-9-23,58,2019-10-27
59,364,4,2017-12-10,59,2018-12-16
64,58,83,2018-12-26,64,2019-12-28
67,411,4,2019-10-24,67,2019-12-24
70,27,10,2017-5-22,70,2017-8-28
71,340,1,2019-6-27,71,2019-12-27
72,236,391,2018-10-27,72,2019-12-27
73,328,104,2019-12-18,73,2019-12-21
74,238,178,2019-5-19,74,2019-8-21
75,489,5,2016-11-18,75,2019-12-28
78,482,2,2019-8-28,78,2019-8-28
82,248,18,2017-9-18,82,2019-12-23
83,368,79,2014-8-26,83,2016-8-27
86,77,3,2018-10-26,86,2019-12-27
88,267,2,2016-7-28,88,2018-7-28
89,411,64,2019-12-17,89,2019-12-22
91,412,278,2019-9-28,91,2019-11-28
92,105,3,2015-12-25,92,2016-12-27
94,57,2,2019-4-25,94,2019-4-25
95,346,208,2018-12-28,95,2018-12-28
98,36,2,2015-11-21,98,2016-12-23
100,120,62,2018-12-26,100,2018-12-26
102,457,2,2016-12-28,102,2017-12-28
106,120,12,2017-8-11,106,2018-9-24
109,248,125,2018-12-26,109,2019-12-26
113,252,62,2019-11-28,113,2019-11-28
114,57,6,2019-12-8,114,2019-12-9
119,436,13,2019-10-28,119,2019-11-28
122,294,164,2019-12-25,122,2019-12-28
126,308,30,2019-12-25,126,2019-12-25
131,454,12,2017-4-10,131,2017-9-23
133,110,9,2018-8-26,133,2019-12-27
136,288,415,2019-11-19,136,2019-11-21
143,194,3,2018-11-13,143,2019-11-27
144,124,48,2015-8-15,144,2019-10-22
146,66,27,2018-7-28,146,2019-10-28
149,277,44,2016-11-26,149,2016-12-28
150,288,12,2019-8-28,150,2019-10-28
151,154,19,2018-8-24,151,2019-9-27
153,386,13,2015-12-24,153,2017-12-26
154,221,29,2019-12-18,154,2019-12-21
160,54,7,2018-3-23,160,2019-5-25
161,11,19,2017-9-27,161,2018-11-27
162,489,4,2019-9-17,162,2019-12-20
164,307,1,2016-5-26,164,2019-10-26
166,489,17,2019-12-26,166,2019-12-28
167,157,5,2019-10-25,167,2019-11-26
168,238,8,2015-12-27,168,2017-12-27
170,411,98,2018-11-22,170,2019-12-27
173,58,20,2018-12-14,173,2019-12-19
174,148,223,2019-12-28,174,2019-12-28
176,287,58,2017-11-21,176,2018-11-28
177,147,59,2019-3-22,177,2019-7-25
178,281,2,2019-6-28,178,2019-6-28
180,131,109,2019-12-26,180,2019-12-28
182,287,107,2019-8-24,182,2019-9-28
183,114,124,2018-3-12,183,2018-11-25
184,346,2,2018-9-10,184,2018-12-14
187,472,6,2019-9-25,187,2019-10-27
189,460,51,2019-12-19,189,2019-12-22
190,122,4,2018-12-26,190,2018-12-27
192,74,41,2016-12-20,192,2019-12-24
193,99,30,2017-12-20,193,2018-12-23
195,287,6,2018-11-26,195,2018-12-28
196,450,15,2018-3-23,196,2019-3-25
200,245,4,2019-11-22,200,2019-12-25
201,369,95,2018-12-22,201,2019-12-28
202,98,7,2018-10-27,202,2019-10-27
203,425,20,2018-10-26,203,2018-12-27
204,477,26,2014-8-19,204,2015-10-25
206,346,15,2016-12-27,206,2019-12-27
207,492,18,2018-8-26,207,2018-12-28
208,340,36,2019-5-23,208,2019-8-25
209,165,27,2019-11-20,209,2019-12-22
210,232,506,2015-6-28,210,2015-6-28
212,86,4,2018-10-21,212,2019-11-24
214,236,2,2018-2-26,214,2018-5-27
215,263,836,2014-12-20,215,2017-12-24
217,328,4,2018-6-19,217,2018-11-26
221,241,154,2014-2-19,221,2015-12-26
222,185,186,2018-3-21,222,2018-6-24
225,485,64,2019-5-15,225,2019-11-21
226,263,11,2019-6-28,226,2019-8-28
228,40,205,2016-12-27,228,2016-12-27
230,375,40,2018-12-28,230,2018-12-28
232,114,9,2019-12-25,232,2019-12-27
233,148,67,2018-12-24,233,2018-12-24
237,450,13,2016-4-23,237,2019-8-23
244,241,66,2017-10-8,244,2019-11-28
